aadhaar,farmer_id,state,district,land_size_acres,usual_crop,irrigation_type,soil_type
100000000001,F000001,Haryana,HDist140,2.71,Wheat,Rainfed,Loam
100000000002,F000002,Goa,GDist140,1.63,Cashew,Borewell,Loam
100000000003,F000003,Uttarakhand,UDist72,3.06,Rice,Canal,Loam
100000000004,F000004,Jharkhand,JDist89,6.16,Paddy,Rainfed,Clay
100000000005,F000005,Mizoram,MDist76,1.51,Paddy,Rainfed,Sandy
100000000006,F000006,Telangana,TDist60,1.51,Cotton,Rainfed,Loam
100000000007,F000007,Gujarat,GDist19,6.45,Cotton,Canal,Clay
100000000008,F000008,Karnataka,KDist84,3.37,Maize,Canal,Clay
100000000009,F000009,Bihar,BDist146,1.25,Paddy,Rainfed,Clay
100000000010,F000010,Rajasthan,RDist144,2.81,Bajra,Canal,Sandy
100000000011,F000011,Mizoram,MDist13,1.26,Maize,Borewell,Loam
100000000012,F000012,Haryana,HDist120,1.26,Wheat,Canal,Sandy
100000000013,F000013,Andaman & Nicobar,A&NDist69,2.21,Paddy,Rainfed,Loam
100000000014,F000014,Sikkim,SDist68,0.39,Paddy,Borewell,Loam
100000000015,F000015,Chandigarh,CDist51,0.46,Wheat,Canal,Loam
100000000016,F000016,Jharkhand,JDist29,1.16,Maize,Canal,Sandy
100000000017,F000017,Telangana,TDist18,0.81,Maize,Borewell,Sandy
100000000018,F000018,Himachal Pradesh,HPDist55,2.34,Apple,Canal,Sandy
100000000019,F000019,Madhya Pradesh,MPDist31,0.88,Maize,Borewell,Sandy
100000000020,F000020,Meghalaya,MDist19,0.59,Paddy,Borewell,Loam
100000000021,F000021,Bihar,BDist125,5.89,Paddy,Borewell,Loam
100000000022,F000022,Maharashtra,MDist105,1.52,Maize,Rainfed,Sandy
100000000023,F000023,Madhya Pradesh,MPDist14,1.92,Wheat,Borewell,Clay
100000000024,F000024,Gujarat,GDist109,0.58,Groundnut,Rainfed,Loam
100000000025,F000025,Kerala,KDist13,1.18,Coconut,Borewell,Loam
100000000026,F000026,Andhra Pradesh,APDist103,1.99,Paddy,Rainfed,Loam
100000000027,F000027,Bihar,BDist109,0.73,Paddy,Borewell,Clay
