land_size_acres,crop_type,irrigation_type,soil_type,region,past_fertilizer_usage,recommended_nutrient_dose,max_allowed_qty
2.19,Cotton,Borewell,Clay,East,102.96,40,91.66
3.19,Paddy,Borewell,Clay,North,124.09,50,148.53
0.76,Cotton,Borewell,Sandy,West,34.45,40,31.01
3.69,Paddy,Borewell,Clay,South,131.05,50,201.84
4.25,Paddy,Borewell,Sandy,South,171.31,50,198.98
1.33,Cotton,Rainfed,Clay,West,45.33,40,53.46
2.44,Cotton,Rainfed,Clay,South,82.53,40,99.78
1.13,Cotton,Rainfed,Loam,East,38.24,40,43.99
2.55,Paddy,Borewell,Loam,North,139.3,50,119.84
2.81,Paddy,Rainfed,Clay,East,139.97,50,127.76
3.23,Maize,Rainfed,Clay,West,76.09,30,88.47
4.77,Cotton,Borewell,Loam,North,225.68,40,202.57
1.87,Cotton,Rainfed,Sandy,East,56.01,40,77.56
2.48,Cotton,Borewell,Sandy,North,75.49,40,99.1
0.65,Paddy,Borewell,Loam,North,37.53,50,30.93
3.48,Paddy,Borewell,Loam,East,148.92,50,174.7
2.96,Maize,Rainfed,Clay,East,70.37,30,97.14
3.99,Maize,Borewell,Sandy,East,140.02,30,129.15
3.19,Cotton,Borewell,Sandy,South,148.14,40,117.1
1.38,Cotton,Borewell,Clay,West,39.89,40,53.27
2.25,Maize,Rainfed,Sandy,South,56.41,30,71.94
2.11,Cotton,Rainfed,Clay,South,70.94,40,85.12
1.13,Paddy,Rainfed,Loam,East,62.21,50,51.69
4.94,Paddy,Borewell,Sandy,East,268.27,50,232.12
0.52,Paddy,Rainfed,Loam,West,28.8,50,27.08
3.78,Paddy,Rainfed,Clay,South,205.19,50,172.9
2.11,Cotton,Rainfed,Sandy,West,63.97,40,90.53
3.3,Cotton,Rainfed,Loam,South,114.24,40,120.48
1.9,Paddy,Rainfed,Clay,North,81.95,50,99.36
3.37,Paddy,Borewell,Sandy,South,192.7,50,167.56
1.04,Cotton,Rainfed,Sandy,North,43.96,40,43.77
3.03,Maize,Rainfed,Sandy,West,98.67,30,90.79
2.85,Cotton,Rainfed,Sandy,North,104.17,40,103.18
0.99,Cotton,Borewell,Sandy,East,28.34,40,40.68
1.91,Cotton,Rainfed,Clay,East,72.91,40,82.63
1.62,Maize,Borewell,Loam,North,43.99,30,51.08
1.53,Cotton,Rainfed,Sandy,South,45.2,40,58.63
1.23,Cotton,Borewell,Sandy,East,57.31,40,52.23
3.35,Cotton,Borewell,Clay,East,152.19,40,142.14
1.34,Paddy,Borewell,Sandy,East,76.8,50,67.53
4.13,Maize,Borewell,Clay,East,142.24,30,119.39
1.0,Maize,Borewell,Clay,South,24.42,30,29.56
4.18,Cotton,Borewell,Clay,West,189.0,40,150.71
2.8,Paddy,Borewell,Clay,West,127.22,50,132.22
1.04,Cotton,Borewell,Loam,West,36.14,40,45.29
1.95,Paddy,Borewell,Sandy,East,93.54,50,101.46
2.14,Maize,Rainfed,Loam,West,76.13,30,70.14
1.63,Paddy,Borewell,Clay,North,77.31,50,78.25
1.78,Maize,Borewell,Sandy,South,38.36,30,54.57
2.76,Cotton,Borewell,Clay,North,80.12,40,105.51
4.59,Cotton,Borewell,Clay,North,150.51,40,170.56
2.7,Paddy,Rainfed,Clay,South,161.03,50,128.04
3.52,Maize,Rainfed,Clay,South,114.13,30,100.06
3.78,Cotton,Rainfed,Clay,West,133.64,40,155.2
3.35,Maize,Borewell,Clay,North,97.27,30,92.26
4.26,Cotton,Rainfed,Loam,West,146.61,40,159.72
0.68,Maize,Rainfed,Sandy,North,20.31,30,21.12
0.57,Cotton,Borewell,Clay,West,21.8,40,21.55
3.4,Cotton,Rainfed,Clay,South,107.06,40,141.19
2.24,Paddy,Borewell,Sandy,West,130.86,50,103.88
2.03,Paddy,Rainfed,Clay,East,76.81,50,110.12
4.45,Maize,Borewell,Clay,West,110.67,30,137.77
4.18,Cotton,Borewell,Clay,North,163.45,40,168.19
1.59,Paddy,Borewell,Clay,West,59.35,50,85.82
4.55,Maize,Rainfed,Clay,West,138.76,30,132.11
2.07,Paddy,Borewell,Loam,North,110.02,50,111.72
4.49,Maize,Rainfed,Loam,East,146.81,30,138.53
0.88,Maize,Rainfed,Clay,South,20.61,30,28.5
3.23,Maize,Borewell,Clay,North,68.28,30,89.18
3.49,Cotton,Rainfed,Clay,North,98.07,40,130.13
2.97,Cotton,Rainfed,Sandy,South,124.26,40,122.41
1.51,Paddy,Borewell,Clay,North,79.73,50,71.53
1.96,Cotton,Borewell,Sandy,South,84.14,40,80.75
4.32,Maize,Borewell,Sandy,South,133.33,30,131.37
0.92,Cotton,Borewell,Sandy,North,32.53,40,35.07
1.6,Maize,Rainfed,Loam,South,56.95,30,46.97
4.51,Cotton,Rainfed,Clay,East,183.21,40,191.04
2.76,Maize,Borewell,Sandy,East,81.84,30,82.68
1.38,Maize,Rainfed,Clay,North,43.93,30,39.58
0.61,Maize,Borewell,Clay,South,18.72,30,17.12
4.73,Cotton,Rainfed,Clay,East,222.68,40,204.9
2.17,Paddy,Borewell,Loam,East,76.79,50,117.79
2.43,Paddy,Rainfed,Sandy,East,143.77,50,132.77
4.34,Cotton,Borewell,Sandy,East,147.08,40,169.61
4.33,Cotton,Borewell,Clay,East,148.69,40,161.75
3.01,Paddy,Borewell,Sandy,South,175.8,50,156.4
3.07,Maize,Rainfed,Sandy,South,68.94,30,94.22
4.96,Cotton,Rainfed,Clay,East,152.78,40,199.13
4.45,Cotton,Rainfed,Loam,North,190.53,40,185.01
3.66,Paddy,Rainfed,Loam,North,160.99,50,175.45
4.14,Paddy,Rainfed,Clay,East,228.75,50,222.2
4.61,Paddy,Rainfed,Sandy,West,220.28,50,230.57
4.09,Cotton,Borewell,Clay,North,167.69,40,170.21
4.08,Cotton,Borewell,Sandy,North,186.86,40,157.91
2.19,Maize,Borewell,Loam,South,49.08,30,66.73
0.66,Paddy,Rainfed,Loam,North,30.78,50,33.28
1.79,Maize,Borewell,Sandy,South,53.45,30,48.66
0.67,Cotton,Borewell,Loam,West,29.78,40,26.05
1.07,Cotton,Borewell,Clay,South,41.14,40,45.11
1.47,Paddy,Rainfed,Clay,South,74.34,50,67.4
0.73,Cotton,Rainfed,Loam,South,28.2,40,29.44
3.37,Maize,Borewell,Sandy,North,107.47,30,110.72
2.82,Maize,Borewell,Loam,South,72.88,30,89.59
1.72,Paddy,Rainfed,Loam,East,79.08,50,78.75
0.61,Paddy,Borewell,Clay,South,36.03,50,32.55
3.63,Maize,Rainfed,Loam,North,98.5,30,101.78
1.2,Maize,Rainfed,Sandy,West,29.7,30,36.35
3.72,Cotton,Rainfed,Clay,North,153.28,40,142.25
4.8,Maize,Borewell,Sandy,East,153.93,30,145.57
3.25,Paddy,Borewell,Sandy,West,147.84,50,154.3
2.1,Maize,Rainfed,Loam,North,67.97,30,56.88
1.02,Maize,Borewell,Loam,North,22.12,30,27.79
4.35,Cotton,Rainfed,Clay,South,183.02,40,173.1
0.94,Maize,Rainfed,Clay,East,26.67,30,28.05
1.28,Cotton,Rainfed,Sandy,North,46.95,40,50.16
3.27,Cotton,Rainfed,Sandy,East,133.1,40,118.91
2.19,Cotton,Rainfed,Loam,West,88.73,40,87.65
4.35,Cotton,Rainfed,Sandy,South,179.11,40,162.27
0.82,Paddy,Rainfed,Sandy,West,41.87,50,37.12
3.14,Cotton,Borewell,Sandy,East,146.97,40,127.5
2.25,Maize,Borewell,Loam,East,68.96,30,66.94
2.96,Paddy,Rainfed,Sandy,East,173.27,50,144.63
4.83,Maize,Rainfed,Loam,South,167.02,30,136.08
0.81,Cotton,Rainfed,Sandy,South,24.31,40,29.28
0.92,Cotton,Borewell,Loam,East,38.33,40,33.64
1.94,Paddy,Borewell,Sandy,East,108.88,50,87.75
4.17,Paddy,Borewell,Clay,North,175.33,50,192.58
3.64,Paddy,Borewell,Loam,North,184.63,50,195.74
3.81,Maize,Rainfed,Sandy,South,125.93,30,109.32
1.3,Cotton,Rainfed,Loam,West,55.92,40,55.19
4.96,Paddy,Borewell,Sandy,North,224.76,50,241.65
3.99,Paddy,Rainfed,Clay,South,173.65,50,216.69
4.36,Cotton,Rainfed,Clay,South,159.49,40,183.15
3.9,Paddy,Rainfed,Clay,West,146.55,50,210.7
2.77,Cotton,Rainfed,Loam,West,123.35,40,106.81
4.53,Cotton,Rainfed,Clay,West,162.1,40,163.47
4.57,Maize,Rainfed,Clay,East,102.23,30,132.15
4.78,Cotton,Rainfed,Sandy,South,224.72,40,194.01
3.34,Maize,Rainfed,Clay,East,92.61,30,96.06
1.98,Paddy,Rainfed,Loam,East,102.59,50,104.0
4.06,Cotton,Borewell,Clay,South,177.8,40,149.12
2.72,Paddy,Rainfed,Sandy,South,99.11,50,137.35
2.49,Cotton,Borewell,Clay,West,113.93,40,96.63
1.03,Maize,Rainfed,Sandy,West,23.84,30,32.52
3.28,Maize,Borewell,Clay,West,73.86,30,90.22
3.65,Maize,Borewell,Sandy,West,80.63,30,116.55
3.68,Maize,Borewell,Loam,East,81.77,30,101.23
4.94,Maize,Rainfed,Sandy,South,131.47,30,144.37
4.16,Maize,Borewell,Loam,West,146.47,30,136.93
3.89,Maize,Borewell,Loam,East,103.64,30,106.98
4.0,Cotton,Rainfed,Sandy,South,156.67,40,157.58
4.58,Maize,Borewell,Sandy,North,103.82,30,137.2
0.55,Maize,Borewell,Clay,West,15.42,30,15.04
1.03,Paddy,Rainfed,Clay,North,39.08,50,53.04
3.86,Maize,Rainfed,Loam,South,114.84,30,126.5
2.19,Maize,Rainfed,Loam,West,55.38,30,70.54
1.51,Maize,Rainfed,Loam,North,53.53,30,40.88
4.86,Maize,Borewell,Sandy,North,105.21,30,157.21
2.87,Maize,Borewell,Sandy,North,103.02,30,78.76
2.99,Cotton,Borewell,Clay,South,141.68,40,120.15
3.33,Paddy,Borewell,Sandy,South,174.47,50,164.99
3.32,Paddy,Borewell,Loam,North,164.7,50,179.32
0.7,Cotton,Borewell,Loam,East,23.53,40,30.52
4.51,Maize,Borewell,Sandy,North,125.54,30,138.55
1.75,Paddy,Rainfed,Clay,North,69.48,50,86.86
2.09,Maize,Rainfed,Loam,South,62.19,30,57.4
4.88,Paddy,Borewell,Clay,East,291.12,50,253.67
