aadhaar,farmer_id,state,district,land_size_acres,usual_crop,irrigation_type,soil_type
100000000001,F000001,Rajasthan,RajasthanDist140,2.71,Bajra,Rainfed,Loam
100000000002,F000002,Assam,AssamDist184,1.63,Tea,Borewell,Loam
100000000003,F000003,Rajasthan,RajasthanDist41,3.06,Cotton,Canal,Clay
100000000004,F000004,Tamil Nadu,TamilDist25,6.16,Sugarcane,Borewell,Loam
100000000005,F000005,Kerala,KeralaDist97,1.51,Coconut,Borewell,Loam
100000000006,F000006,Assam,AssamDist59,1.51,Tea,Rainfed,Clay
100000000007,F000007,Tripura,TripuraDist42,6.45,Maize,Rainfed,Loam
100000000008,F000008,Kerala,KeralaDist44,3.37,Coconut,Rainfed,Sandy
100000000009,F000009,Nagaland,NagalandDist57,1.25,Paddy,Borewell,Clay
100000000010,F000010,Sikkim,SikkimDist69,2.81,Potato,Rainfed,Loam
100000000011,F000011,Assam,AssamDist102,1.26,Paddy,Rainfed,Sandy
100000000012,F000012,Rajasthan,RajasthanDist150,1.26,Wheat,Borewell,Loam
100000000013,F000013,Maharashtra,MaharashtraDist29,2.21,Soybean,Borewell,Loam
100000000014,F000014,Chhattisgarh,ChhattisgarhDist120,0.39,Soybean,Rainfed,Clay
100000000015,F000015,Mizoram,MizoramDist193,0.46,Maize,Rainfed,Loam
100000000016,F000016,Himachal Pradesh,HimachalDist185,1.16,Maize,Borewell,Clay
100000000017,F000017,Himachal Pradesh,HimachalDist156,0.81,Maize,Canal,Loam
100000000018,F000018,Gujarat,GujaratDist154,2.34,Groundnut,Rainfed,Sandy
100000000019,F000019,Karnataka,KarnatakaDist15,0.88,Sugarcane,Borewell,Clay
100000000020,F000020,Haryana,HaryanaDist33,0.59,Cotton,Borewell,Clay
100000000021,F000021,Chhattisgarh,ChhattisgarhDist55,5.89,Soybean,Rainfed,Loam
100000000022,F000022,Nagaland,NagalandDist133,1.52,Paddy,Rainfed,Clay
100000000023,F000023,Manipur,ManipurDist57,1.92,Paddy,Borewell,Loam
100000000024,F000024,Andhra Pradesh,AndhraDist19,0.58,Paddy,Rainfed,Loam
100000000025,F000025,Mizoram,MizoramDist147,1.18,Paddy,Borewell,Clay
100000000026,F000026,Odisha,OdishaDist109,1.99,Groundnut,Rainfed,Clay
100000000027,F000027,Maharashtra,MaharashtraDist87,0.73,Soybean,Borewell,Sandy
100000000028,F000028,Uttar Pradesh,UttarDist119,2.46,Wheat,Borewell,Loam
100000000029,F000029,Haryana,HaryanaDist4,1.13,Wheat,Canal,Sandy
100000000030,F000030,Assam,AssamDist43,1.44,Paddy,Borewell,Clay
100000000031,F000031,Madhya Pradesh,MadhyaDist179,1.13,Wheat,Rainfed,Clay
100000000032,F000032,Telangana,TelanganaDist189,8.02,Cotton,Rainfed,Loam
100000000033,F000033,Nagaland,NagalandDist136,1.8,Paddy,Rainfed,Loam
100000000034,F000034,Goa,GoaDist61,0.78,Paddy,Rainfed,Loam
100000000035,F000035,Madhya Pradesh,MadhyaDist108,3.52,Wheat,Rainfed,Sandy
100000000036,F000036,Sikkim,SikkimDist34,0.69,Potato,Rainfed,Loam
100000000037,F000037,Sikkim,SikkimDist26,2.15,Potato,Canal,Loam
100000000038,F000038,Assam,AssamDist95,0.38,Paddy,Canal,Loam
100000000039,F000039,Jharkhand,JharkhandDist168,0.63,Paddy,Canal,Sandy
100000000040,F000040,Mizoram,MizoramDist35,2.13,Paddy,Rainfed,Sandy
100000000041,F000041,Himachal Pradesh,HimachalDist53,3.29,Apple,Rainfed,Loam
100000000042,F000042,Sikkim,SikkimDist109,2.09,Potato,Canal,Clay
100000000043,F000043,Uttarakhand,UttarakhandDist190,1.66,Wheat,Borewell,Clay
100000000044,F000044,Manipur,ManipurDist10,1.43,Maize,Borewell,Loam
100000000045,F000045,Uttarakhand,UttarakhandDist11,0.56,Wheat,Canal,Loam
100000000046,F000046,Kerala,KeralaDist105,1.02,Paddy,Rainfed,Sandy
100000000047,F000047,Punjab,PunjabDist106,1.26,Wheat,Rainfed,Loam
100000000048,F000048,Andhra Pradesh,AndhraDist189,4.24,Paddy,Rainfed,Clay
100000000049,F000049,Uttar Pradesh,UttarDist57,2.4,Wheat,Borewell,Sandy
100000000050,F000050,Gujarat,GujaratDist72,0.44,Cotton,Borewell,Loam
100000000051,F000051,West Bengal,WestDist138,2.36,Paddy,Rainfed,Clay
100000000052,F000052,Karnataka,KarnatakaDist28,1.34,Ragi,Rainfed,Clay
100000000053,F000053,Punjab,PunjabDist148,1.06,Paddy,Borewell,Clay
100000000054,F000054,Gujarat,GujaratDist190,2.97,Cotton,Rainfed,Loam
100000000055,F000055,Telangana,TelanganaDist170,4.16,Cotton,Borewell,Loam
100000000056,F000056,West Bengal,WestDist179,3.84,Paddy,Rainfed,Clay
100000000057,F000057,Jharkhand,JharkhandDist158,0.93,Pulses,Borewell,Sandy
100000000058,F000058,Odisha,OdishaDist156,1.42,Groundnut,Canal,Loam
100000000059,F000059,Rajasthan,RajasthanDist189,2.38,Wheat,Canal,Clay
100000000060,F000060,Goa,GoaDist193,3.98,Paddy,Borewell,Sandy
100000000061,F000061,Haryana,HaryanaDist157,1.24,Cotton,Borewell,Loam
100000000062,F000062,West Bengal,WestDist103,1.57,Paddy,Canal,Sandy
100000000063,F000063,Haryana,HaryanaDist200,0.75,Wheat,Rainfed,Loam
100000000064,F000064,Maharashtra,MaharashtraDist32,0.7,Maize,Rainfed,Sandy
100000000065,F000065,Manipur,ManipurDist194,3.49,Paddy,Rainfed,Sandy
100000000066,F000066,Manipur,ManipurDist64,5.39,Maize,Canal,Loam
100000000067,F000067,Uttarakhand,UttarakhandDist183,1.72,Wheat,Rainfed,Sandy
100000000068,F000068,Jharkhand,JharkhandDist99,4.07,Paddy,Borewell,Clay
100000000069,F000069,Tamil Nadu,TamilDist16,2.43,Paddy,Rainfed,Loam
100000000070,F000070,Gujarat,GujaratDist148,1.09,Cotton,Rainfed,Sandy
100000000071,F000071,Madhya Pradesh,MadhyaDist108,2.43,Soybean,Rainfed,Clay
100000000072,F000072,Nagaland,NagalandDist174,6.24,Paddy,Canal,Clay
100000000073,F000073,Uttar Pradesh,UttarDist101,1.77,Paddy,Rainfed,Clay
100000000074,F000074,Odisha,OdishaDist98,6.37,Paddy,Borewell,Clay
100000000075,F000075,Karnataka,KarnatakaDist21,0.22,Maize,Borewell,Clay
100000000076,F000076,Meghalaya,MeghalayaDist200,3.52,Paddy,Rainfed,Loam
100000000077,F000077,Rajasthan,RajasthanDist122,1.95,Bajra,Rainfed,Loam
100000000078,F000078,Sikkim,SikkimDist156,1.43,Paddy,Canal,Loam
100000000079,F000079,Punjab,PunjabDist80,1.96,Wheat,Rainfed,Loam
100000000080,F000080,Odisha,OdishaDist27,0.37,Groundnut,Rainfed,Loam
100000000081,F000081,Tamil Nadu,TamilDist137,1.53,Sugarcane,Rainfed,Loam
100000000082,F000082,Maharashtra,MaharashtraDist111,2.42,Sugarcane,Canal,Clay
100000000083,F000083,Kerala,KeralaDist158,5.94,Rubber,Rainfed,Clay
100000000084,F000084,Uttar Pradesh,UttarDist23,1.2,Sugarcane,Canal,Sandy
100000000085,F000085,Himachal Pradesh,HimachalDist127,0.95,Paddy,Borewell,Clay
100000000086,F000086,West Bengal,WestDist180,1.22,Maize,Canal,Clay
100000000087,F000087,Himachal Pradesh,HimachalDist195,3.79,Maize,Canal,Loam
100000000088,F000088,Haryana,HaryanaDist104,2.37,Cotton,Rainfed,Clay
100000000089,F000089,Tamil Nadu,TamilDist191,1.19,Paddy,Borewell,Sandy
100000000090,F000090,Nagaland,NagalandDist81,2.75,Maize,Rainfed,Clay
100000000091,F000091,Bihar,BiharDist186,1.97,Wheat,Canal,Sandy
100000000092,F000092,Odisha,OdishaDist137,3.95,Groundnut,Rainfed,Clay
100000000093,F000093,Chhattisgarh,ChhattisgarhDist193,1.04,Maize,Rainfed,Sandy
100000000094,F000094,Meghalaya,MeghalayaDist14,1.4,Paddy,Rainfed,Sandy
100000000095,F000095,Himachal Pradesh,HimachalDist14,1.33,Paddy,Borewell,Loam
100000000096,F000096,Chhattisgarh,ChhattisgarhDist107,0.57,Paddy,Rainfed,Clay
100000000097,F000097,Punjab,PunjabDist110,2.31,Wheat,Rainfed,Clay
100000000098,F000098,Jharkhand,JharkhandDist68,2.25,Pulses,Borewell,Sandy
100000000099,F000099,Sikkim,SikkimDist177,1.83,Paddy,Borewell,Loam
100000000100,F000100,Punjab,PunjabDist19,1.51,Paddy,Borewell,Loam
100000000101,F000101,Sikkim,SikkimDist30,0.59,Paddy,Rainfed,Sandy
100000000102,F000102,Nagaland,NagalandDist79,1.3,Paddy,Rainfed,Clay
